Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
55:54.2,344.998,55:54.2,62.2991,55:54.2,0.194966
55:54.3,344.871,55:54.3,62.2668,55:54.3,0.195093
55:54.4,344.932,55:54.4,62.5235,55:54.4,0.195427
55:54.5,344.884,55:54.5,62.38,55:54.5,0.195224
55:54.6,344.87,55:54.6,62.462,55:54.6,0.195127
55:54.7,344.908,55:54.7,62.4607,55:54.7,0.195454
55:54.8,344.914,55:54.8,62.1109,55:54.8,0.194803
55:54.9,344.843,55:54.9,62.3158,55:54.9,0.195114
55:55.0,344.838,55:55.0,62.394,55:55.0,0.195123
55:55.1,344.911,55:55.1,62.2764,55:55.1,0.194883
55:55.2,344.969,55:55.2,62.378,55:55.2,0.19527
55:55.3,344.931,55:55.3,62.3949,55:55.3,0.195226
55:55.4,344.977,55:55.4,62.3994,55:55.4,0.195021
55:55.5,344.848,55:55.5,62.3188,55:55.5,0.195237
55:55.6,344.92,55:55.6,62.2766,55:55.6,0.195388
55:55.7,344.905,55:55.7,62.3534,55:55.7,0.195577
55:55.8,345,55:55.8,62.3106,55:55.8,0.195641
55:55.9,344.975,55:55.9,62.185,55:55.9,0.195839
55:56.0,344.917,55:56.0,62.3099,55:56.0,0.195843
55:56.1,344.934,55:56.1,62.4071,55:56.1,0.195131
55:56.2,344.835,55:56.2,62.4222,55:56.2,0.195851
55:56.3,344.881,55:56.3,62.3839,55:56.3,0.195698
55:56.4,344.877,55:56.4,62.4049,55:56.4,0.194629
55:56.5,344.913,55:56.5,62.2507,55:56.5,0.194998
55:56.6,344.825,55:56.6,62.2888,55:56.6,0.195222
55:56.7,344.941,55:56.7,62.2371,55:56.7,0.195327
55:56.8,344.992,55:56.8,62.2195,55:56.8,0.195128
55:56.9,344.953,55:56.9,62.3436,55:56.9,0.195017
55:57.0,344.917,55:57.0,62.3507,55:57.0,0.195291
55:57.1,344.882,55:57.1,62.3265,55:57.1,0.195557
55:57.2,344.879,55:57.2,62.4532,55:57.2,0.195376
55:57.3,344.968,55:57.3,62.351,55:57.3,0.194838
55:57.4,344.983,55:57.4,62.2399,55:57.4,0.195154
55:57.5,344.915,55:57.5,62.4062,55:57.5,0.19558
55:57.6,344.905,55:57.6,62.3609,55:57.6,0.194951
55:57.7,344.915,55:57.7,62.4504,55:57.7,0.194943
55:57.8,344.921,55:57.8,62.2474,55:57.8,0.195878
55:57.9,344.935,55:57.9,62.4958,55:57.9,0.195177
55:58.0,344.871,55:58.0,62.2314,55:58.0,0.195275
55:58.1,344.955,55:58.1,62.3052,55:58.1,0.194812
55:58.2,344.951,55:58.2,62.2709,55:58.2,0.195034
55:58.3,344.919,55:58.3,62.445,55:58.3,0.195204
55:58.4,344.879,55:58.4,62.2026,55:58.4,0.195504
55:58.5,344.939,55:58.5,62.2778,55:58.5,0.195067
55:58.6,344.845,55:58.6,62.3259,55:58.6,0.195663
55:58.7,344.877,55:58.7,62.388,55:58.7,0.194977
55:58.8,344.947,55:58.8,62.4132,55:58.8,0.19517
55:58.9,344.948,55:58.9,62.4271,55:58.9,0.19563
55:59.0,344.954,55:59.0,62.4137,55:59.0,0.195163
55:59.1,344.974,55:59.1,62.3978,55:59.1,0.195297
55:59.2,344.87,55:59.2,62.2602,55:59.2,0.195348
55:59.3,344.93,55:59.3,62.5149,55:59.3,0.195106
55:59.4,344.812,55:59.4,62.3831,55:59.4,0.195856
55:59.5,344.868,55:59.5,62.4367,55:59.5,0.195404
55:59.6,344.956,55:59.6,62.3704,55:59.6,0.194411
55:59.7,344.901,55:59.7,62.3733,55:59.7,0.195124
55:59.8,344.885,55:59.8,62.2467,55:59.8,0.195511
55:59.9,344.8,55:59.9,62.3675,55:59.9,0.195442
56:00.0,344.968,56:00.0,62.3591,56:00.0,0.195052
56:00.1,344.803,56:00.1,62.3304,56:00.1,0.194735
56:00.2,344.914,56:00.2,62.2844,56:00.2,0.195299
56:00.3,344.994,56:00.3,62.4303,56:00.3,0.195332
56:00.4,344.881,56:00.4,62.446,56:00.4,0.195302
56:00.5,344.93,56:00.5,62.416,56:00.5,0.19534
56:00.6,344.924,56:00.6,62.3871,56:00.6,0.195225
56:00.7,344.923,56:00.7,62.3461,56:00.7,0.195436
56:00.8,344.915,56:00.8,62.4476,56:00.8,0.195098
56:00.9,344.921,56:00.9,62.2596,56:00.9,0.195202
56:01.0,344.954,56:01.0,62.3242,56:01.0,0.195309
56:01.1,344.888,56:01.1,62.3235,56:01.1,0.195118
56:01.2,344.972,56:01.2,62.4035,56:01.2,0.195353
56:01.3,344.877,56:01.3,62.2752,56:01.3,0.195199
56:01.4,344.947,56:01.4,62.2412,56:01.4,0.195133
56:01.5,344.874,56:01.5,62.2245,56:01.5,0.194959
56:01.6,344.97,56:01.6,62.4498,56:01.6,0.194992
56:01.7,344.95,56:01.7,62.1839,56:01.7,0.194831
56:01.8,344.898,56:01.8,62.3518,56:01.8,0.194679
56:01.9,344.894,56:01.9,62.3671,56:01.9,0.195122
56:02.0,344.833,56:02.0,62.495,56:02.0,0.19504
56:02.1,344.911,56:02.1,62.3085,56:02.1,0.194734
56:02.2,344.892,56:02.2,62.4047,56:02.2,0.195459
56:02.3,344.875,56:02.3,62.5213,56:02.3,0.195279
56:02.4,344.891,56:02.4,62.405,56:02.4,0.195335
56:02.5,344.898,56:02.5,62.2784,56:02.5,0.195157
56:02.6,344.934,56:02.6,62.5307,56:02.6,0.195491
56:02.7,344.927,56:02.7,62.3235,56:02.7,0.195001
56:02.8,344.899,56:02.8,62.397,56:02.8,0.195068
56:02.9,344.882,56:02.9,62.2769,56:02.9,0.195407
56:03.0,344.959,56:03.0,62.3984,56:03.0,0.195289
56:03.1,344.838,56:03.1,62.2298,56:03.1,0.195185
56:03.2,344.786,56:03.2,62.18,56:03.2,0.195275
56:03.3,344.862,56:03.3,62.2302,56:03.3,0.195409
56:03.4,344.898,56:03.4,62.2486,56:03.4,0.195343
56:03.5,344.973,56:03.5,62.3924,56:03.5,0.195057
56:03.6,344.88,56:03.6,62.4538,56:03.6,0.195345
56:03.7,344.866,56:03.7,62.3478,56:03.7,0.195176
56:03.8,344.751,56:03.8,62.3941,56:03.8,0.195018
56:03.9,344.873,56:03.9,62.0962,56:03.9,0.195182
56:04.0,344.963,56:04.0,62.2725,56:04.0,0.195619
56:04.1,344.869,56:04.1,62.2342,56:04.1,0.195827
56:04.2,344.914,56:04.2,62.2053,56:04.2,0.195201
56:04.3,344.896,56:04.3,62.4587,56:04.3,0.195086
56:04.4,344.916,56:04.4,62.403,56:04.4,0.19553
56:04.5,344.917,56:04.5,62.3176,56:04.5,0.19508
56:04.6,344.801,56:04.6,62.443,56:04.6,0.195134
56:04.7,344.801,56:04.7,62.3044,56:04.7,0.19532
56:04.8,344.899,56:04.8,62.3256,56:04.8,0.195445
56:04.9,344.904,56:04.9,62.4662,56:04.9,0.195236
56:05.0,344.817,56:05.0,62.2657,56:05.0,0.194972
56:05.1,344.915,56:05.1,62.396,56:05.1,0.195113
56:05.2,344.887,56:05.2,62.1902,56:05.2,0.19511
56:05.3,344.89,56:05.3,62.4732,56:05.3,0.195428
56:05.4,344.916,56:05.4,62.3286,56:05.4,0.195376
56:05.5,344.788,56:05.5,62.2928,56:05.5,0.19546
56:05.6,344.783,56:05.6,62.4371,56:05.6,0.195574
56:05.7,344.957,56:05.7,62.4151,56:05.7,0.195348
56:05.8,344.876,56:05.8,62.3861,56:05.8,0.195058
56:05.9,344.858,56:05.9,62.5035,56:05.9,0.195353
56:06.0,344.933,56:06.0,62.5389,56:06.0,0.195662
56:06.1,344.857,56:06.1,62.2968,56:06.1,0.195078
56:06.2,344.852,56:06.2,62.3825,56:06.2,0.195306
56:06.3,344.884,56:06.3,62.4361,56:06.3,0.195632
56:06.4,344.866,56:06.4,62.3008,56:06.4,0.195011
