Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
04:59.9,497.666,04:59.9,294.279,04:59.9,1.68511
05:00.0,497.637,05:00.0,294.529,05:00.0,1.68499
05:00.1,497.641,05:00.1,294.514,05:00.1,1.68465
05:00.2,497.679,05:00.2,294.321,05:00.2,1.68448
05:00.3,497.742,05:00.3,294.312,05:00.3,1.68502
05:00.4,497.602,05:00.4,294.345,05:00.4,1.68491
05:00.5,497.673,05:00.5,294.407,05:00.5,1.68482
05:00.6,497.661,05:00.6,294.39,05:00.6,1.68451
05:00.7,497.695,05:00.7,294.517,05:00.7,1.68446
05:00.8,497.724,05:00.8,294.106,05:00.8,1.68447
05:00.9,497.626,05:00.9,294.153,05:00.9,1.68431
05:01.0,497.597,05:01.0,294.312,05:01.0,1.6846
05:01.1,497.679,05:01.1,294.336,05:01.1,1.6844
05:01.2,497.679,05:01.2,294.331,05:01.2,1.68425
05:01.3,497.643,05:01.3,294.125,05:01.3,1.68452
05:01.4,497.668,05:01.4,294.328,05:01.4,1.68452
05:01.5,497.623,05:01.5,294.299,05:01.5,1.68444
05:01.6,497.527,05:01.6,294.315,05:01.6,1.6845
05:01.7,497.671,05:01.7,294.469,05:01.7,1.68453
05:01.8,497.626,05:01.8,294.336,05:01.8,1.68483
05:01.9,497.69,05:01.9,294.359,05:01.9,1.68436
05:02.0,497.657,05:02.0,294.173,05:02.0,1.68435
05:02.1,497.523,05:02.1,294.265,05:02.1,1.6845
05:02.2,497.607,05:02.2,294.341,05:02.2,1.68454
05:02.3,497.671,05:02.3,294.256,05:02.3,1.6847
05:02.4,497.681,05:02.4,294.246,05:02.4,1.68485
05:02.5,497.633,05:02.5,294.183,05:02.5,1.68445
